firma1,beziehung,firma2
AGN Agrargesellschaft mbH Neunheilingen / SZA Bothenheilingen,hat die Muttergesellschaft,AGN Agrargesellschaft mbH Neunheilingen
Agrar GmbH Unstruttal Großvargula,hat den Betreiber,Agrar GmbH Unstruttal
Agrargenossenschaft Abtsbessingen e.G.,hat die Muttergesellschaft,"Agrargenossenschaft Abtsbessingen e.G. Herr Drostatis, Geschäftsführer"
"Agrargenossenschaft ""Ilmtal"" e.G.",hat die Muttergesellschaft,"Agrargenossenschaft ""Ilmtal"" e.G. Niedertrebra"
Agrargenossenschaft Niedersynderstedt / Loßnitz,hat die Muttergesellschaft,Agrargenossenschaft Niedersynderstedt e.G. Loßnitz
Agrar-GmbH Streufdorf Schweinemastanlage Streufdorf,hat die Muttergesellschaft,Agrar-GmbH Streufdorf
Althaus & Sander GmbH Sonderabfallzwischenlager,hat die Muttergesellschaft,Althaus & Sander GmbH Herr Althaus Herr Sander
Astenhof Frischgeflügel Produktions-und Handels GmbH,hat die Muttergesellschaft,Astenhof Frischgeflügel Produktions- und Handels GmbH
BAUER und MOURIK Umwelttechnik GmbH Niederlassung Ost,hat die Muttergesellschaft,BAUER und MOURIK Umwelttechnik GmbH Niederlassung Ost Herr Meißner
BHI Biomasseheizkraftwerk Ilmenau GmbH,hat den Betreiber,IWV Ilmenauer Wärmeversorgung GmbH
BHT Bau- und Holztechnik Thüringen GmbH,hat die Muttergesellschaft,Pfleiderer AG
Bodensanierungsanlage,hat die Muttergesellschaft,SGDA Sanierungsgesellschaft für Deponien und Altlasten mbH
Bodensanierungsanlage,hat den Betreiber,SGDA Sanierungsgesellschaft für Deponien und Altlasten
BVGS-Baustoffvertriebsgesellschaft mbH,hat den Betreiber,"BVGS GmbH, Nordhäuser Straße 68"
Dipl.-Ing. Heinrich Leist GmbH,hat den Betreiber,Dipl. Ing. Heinrich Leist
E.ON Thüringer Energie AG HKW Bad Salzungen,hat die Muttergesellschaft,E.ON Thüringer Energie AG
Fa. Viega,hat die Muttergesellschaft,Franz Viegener II Werk Großheringen
Gebr. Wellen Schweinemastbetriebs GmbH Schweinemastanlage Mönchpfiffel,hat die Muttergesellschaft,Gebr. Wellen Schweinemastbetriebs GmbH
Geratal Agrar GmbH & Co. KG / Schweine Ringleben,hat die Muttergesellschaft,Geratal Agrar GmbH & Co. KG Andisleben
Gramm Technik GmbH,hat die Muttergesellschaft,Gramm Technik GmbH Niederlassung Ilmenau
Hähnchenmastanlage Waldeck,hat die Muttergesellschaft,ALFRA Landwirtschaftliche Produktions GmbH
Hertig GmbH & Co KG,hat die Muttergesellschaft,Hertig GmbH & Co Recycling KG
HFP Bandstahl GmbH & CO.KG,hat die Muttergesellschaft,"Hüsecken, Holzrichter GmbH & CO.KG"
Knauf Insulation GmbH & Co KG Werk Bad Berka,hat die Muttergesellschaft,Knauf Insulation GmbH & Co KG
